Trained,Tested,Model,Accuracy,Precision,Recall,F1,C-Accuracy,C-Precision,C-Recall,C-F1,F-Accuracy,F-Precision,F-Recall,F-F1,T-Accuracy,T-Precision,T-Recall,T-F1,,,,,,,,,,
Mix,Mix,Fine-VGG,71.47,71.15,71.47,60.89,99.12,100,99.12,99.56,4.86,100,4.86,9.28,2.17,100,2.17,4.26,,,,,,,,,,
Mix+Fusar,Fusar-ship,Fine-VGG,70.83,69.22,70.83,63.67,96.87,100,96.87,98.41,10.28,100,10.28,18.65,41.71,100,41.71,58.87,,,,,,,,,,
Mix+Fusar,Opensarship,Fine-VGG,72.97,53.24,72.97,61.56,100,100,100,100,0,0,0,0,0,0,0,0,,,,,,,,,,
Mix+Fusar,Mix,Fine-VGG,71.9,76.51,71.9,61.21,99.66,100,99.66,99.83,4.32,100,4.32,8.29,2.66,100,2.66,5.18,,,,,,,,,,
Mix+Opensar,Fusar-ship,Fine-VGG,67.93,70.79,67.93,68.4,73.52,100,73.52,84.74,61.71,100,61.71,76.32,40.2,100,40.2,57.35,,,,,,,,,,
Mix+Opensar,Opensarship,Fine-VGG,72.97,53.24,72.97,61.56,100,100,100,100,0,0,0,0,0,0,0,0,,,,,,,,,,
Mix+Opensar,Mix,Fine-VGG,70.37,72.89,70.37,63.31,91.37,100,91.37,95.49,54.05,100,54.05,70.18,2.42,100,2.42,4.72,,,,,,,,,,
Mix,Fusar-ship,Resnet,67.06,44.97,67.06,53.84,100,100,100,100,0,0,0,0,0,0,0,0,,,,,,,,,,
Mix,Opensarship,Resnet,72.97,53.24,72.97,61.56,100,100,100,100,0,0,0,0,0,0,0,0,,,,,,,,,,
Mix,Mix,Resnet,71.23,50.74,71.23,59.26,100,100,100,100,0,0,0,0,0,0,0,0,,,,,,,,,,
Mix+Fusar,Fusar-ship,Resnet,67.06,44.97,67.06,53.84,100,100,100,100,0,0,0,0,0,0,0,0,,,,,,,,,,
Mix+Fusar,Opensarship,Resnet,72.97,53.24,72.97,61.56,100,100,100,100,0,0,0,0,0,0,0,0,,,,,,,,,,
Mix+Fusar,Mix,Resnet,71.23,50.74,71.23,59.26,100,100,100,100,0,0,0,0,0,0,0,0,,,,,,,,,,
Mix+Opensar,Fusar-ship,Resnet,67.06,44.97,67.06,53.84,100,100,100,100,0,0,0,0,0,0,0,0,,,,,,,,,,
Mix+Opensar,Opensarship,Resnet,72.97,53.24,72.97,61.56,100,100,100,100,0,0,0,0,0,0,0,0,,,,,,,,,,
Mix+Opensar,Mix,Resnet,71.23,50.74,71.23,59.26,100,100,100,100,0,0,0,0,0,0,0,0,,,,,,,,,,
Mix,Fusar-ship,Fine-Resnet,61.91,58.68,61.91,59.8,79.73,100,79.73,88.72,22.31,100,22.31,36.48,36.18,100,36.18,53.14,,,,,,,,,,
Mix,Opensarship,Fine-Resnet,72.88,53.22,72.88,61.52,99.88,100,99.88,99.94,0,0,0,0,0,0,0,0,,,,,,,,,,
Mix,Mix,Fine-Resnet,70.41,62.76,70.41,62.23,95.28,100,95.28,97.58,22.7,100,22.7,37,2.66,100,2.66,5.18,,,,,,,,,,
Mix+Fusar,Fusar-ship,Fine-Resnet,66.67,47.77,66.67,53.79,99.35,100,99.35,99.67,0.16,100,0.16,0.32,0,0,0,0,,,,,,,,,,
Mix+Fusar,Opensarship,Fine-Resnet,25.11,6.3,25.11,10.08,0,0,0,0,0,0,0,0,100,100,100,100,,,,,,,,,,
Mix+Fusar,Mix,Fine-Resnet,36.98,52.94,36.98,34.93,26.5,100,26.5,41.9,0,0,0,0,91.06,100,91.06,95.32,,,,,,,,,,
Mix+Opensar,Fusar-ship,Fine-Resnet,11.77,48.99,11.77,8.73,3.66,100,3.66,7.07,6.96,100,6.96,13.02,95.98,100,95.98,97.95,,,,,,,,,,
Mix+Opensar,Opensarship,Fine-Resnet,45.62,61.65,45.62,48.38,41.48,100,41.48,58.64,9.82,100,9.82,17.89,60.41,100,60.41,75.32,,,,,,,,,,
Mix+Opensar,Mix,Fine-Resnet,35.73,58.31,35.73,38.57,32.23,100,32.23,48.75,7.03,100,7.03,13.13,61.11,100,61.11,75.86,,,,,,,,,,
,,Average Scores,64.78,52.4,64.78,55.39,88.32,98.52,88.32,90.99,4.29,25.93,4.29,6.32,12.61,41.48,12.61,15.87,,,,,,,,,,
